StudentInfo [studentID=89, studentName=Alison Murray, course=APMTH 134, grade=93]
StudentInfo [studentID=59, studentName=Amber-Rose Austin, course=APMTH 129, grade=93]
StudentInfo [studentID=68, studentName=Aran Rice, course=APMTH 131, grade=89]
StudentInfo [studentID=44, studentName=Brandan Mcbride, course=APMTH 127, grade=89]
StudentInfo [studentID=32, studentName=Veronica Dodd, course=APMTH 125, grade=88]
StudentInfo [studentID=47, studentName=Abbi Perkins, course=APMTH 127, grade=84]
StudentInfo [studentID=92, studentName=Safa Carrillo, course=APMTH 135, grade=84]
StudentInfo [studentID=98, studentName=Milo Whittington, course=APMTH 136, grade=81]
StudentInfo [studentID=65, studentName=Jemma Shannon, course=APMTH 130, grade=81]
StudentInfo [studentID=56, studentName=Amanda Mathis, course=APMTH 129, grade=80]
StudentInfo [studentID=26, studentName=Sara Stacey, course=APMTH 124, grade=80]
StudentInfo [studentID=77, studentName=Landon Fields, course=APMTH 132, grade=75]
StudentInfo [studentID=83, studentName=Ffion Jones, course=APMTH 133, grade=75]
StudentInfo [studentID=86, studentName=Loretta Truong, course=APMTH 134, grade=74]
StudentInfo [studentID=20, studentName=Howard Goldsmith, course=APMTH 123, grade=74]
StudentInfo [studentID=14, studentName=Leia Browne, course=APMTH 122, grade=73]
StudentInfo [studentID=80, studentName=Myra Bryant, course=APMTH 133, grade=73]
StudentInfo [studentID=95, studentName=Desiree Rivers, course=APMTH 135, grade=72]
StudentInfo [studentID=74, studentName=Randall Deacon, course=APMTH 132, grade=72]
StudentInfo [studentID=53, studentName=Carwyn Decker, course=APMTH 128, grade=71]
StudentInfo [studentID=11, studentName=Monty Bloom, course=APMTH 121, grade=71]
StudentInfo [studentID=8, studentName=Penelope Brett, course=APMTH 121, grade=69]
StudentInfo [studentID=71, studentName=Johnnie Murillo, course=APMTH 131, grade=69]
StudentInfo [studentID=29, studentName=Hana Larson, course=APMTH 124, grade=67]
StudentInfo [studentID=50, studentName=Husnain Hilton, course=APMTH 128, grade=64]
StudentInfo [studentID=41, studentName=Corban Dorsey, course=APMTH 126, grade=64]
StudentInfo [studentID=35, studentName=Rida Hanson, course=APMTH 125, grade=63]
StudentInfo [studentID=38, studentName=Aine Bates, course=APMTH 126, grade=62]
StudentInfo [studentID=23, studentName=Flynn Morton, course=APMTH 123, grade=62]
StudentInfo [studentID=5, studentName=Emily Barber, course=APMTH 120, grade=61]
StudentInfo [studentID=62, studentName=Avneet Melendez, course=APMTH 130, grade=60]
StudentInfo [studentID=17, studentName=Eisa Grainger, course=APMTH 122, grade=59]
StudentInfo [studentID=2, studentName=Tazmin Morse, course=APMTH 120, grade=51]
